Net Status Report
Filename     : C:\Users\Public\Documents\Altium\AutonomousSensorBaseBoard\ASBB.PcbDoc
Date         : 13.08.2018
Time         : 09:31:14
Time Elapsed : 00:00:01

Nets, Layer, Length
    NetIC601_85, Signal Layers Only, 2508.281mils
    NetIC601_87, Signal Layers Only, 1873.791mils
    NetIC601_9, Signal Layers Only, 2400.467mils
    NetIC601_92, Signal Layers Only, 2590.256mils
    NetIC601_93, Signal Layers Only, 2042.282mils
    NetIC901_18, Signal Layers Only, 1793.473mils
    NetIC901_19, Signal Layers Only, 1751.223mils
    NetIC901_20, Signal Layers Only, 1502.149mils
    NetIC901_21, Signal Layers Only, 1754.36mils
    NetIC901_28, Signal Layers Only, 1326.464mils
    NetIC901_29, Signal Layers Only, 1500.584mils
    NetIC901_30, Signal Layers Only, 1349.269mils
    NetIC901_31, Signal Layers Only, 1344.55mils
    NetIC901_32, Signal Layers Only, 1588.4mils
    NetIC901_33, Signal Layers Only, 1303.77mils
    NetIC901_34, Signal Layers Only, 1504.689mils
    NetIC901_4, Signal Layers Only, 1845.587mils
    NetIC901_44, Signal Layers Only, 3040.86mils
    NetIC901_45, Signal Layers Only, 2173.34mils
    NetIC901_47, Signal Layers Only, 1863.474mils
    NetIC901_49, Signal Layers Only, 1630.964mils
    NetIC901_51, Signal Layers Only, 2095.54mils
    NetIC901_53, Signal Layers Only, 1126.711mils
    NetIC901_55, Signal Layers Only, 896.569mils
    NetIC901_57, Signal Layers Only, 1727.706mils
    NetIC901_58, Signal Layers Only, 1624.102mils
    NetIC901_59, Signal Layers Only, 1485.028mils
    NetIC901_60, Signal Layers Only, 1230.922mils
    NetJ1401_2, Signal Layers Only, 197.649mils
    NetJ1401_3, Signal Layers Only, 200.095mils
    NetJ1601_2, Signal Layers Only, 0mils
    NetJ701_1, Signal Layers Only, 138.685mils
    NetJ702_1, Signal Layers Only, 134.804mils
    NetL601_2, Signal Layers Only, 423.057mils
    NetP1001_3, Signal Layers Only, 268.258mils
    NetP1002_3, Signal Layers Only, 223.992mils
    NetP1003_3, Signal Layers Only, 268.258mils
    NetP1004_3, Signal Layers Only, 219.85mils
    NetP1005_3, Signal Layers Only, 278.258mils
    NetP1006_3, Signal Layers Only, 204.481mils
    NetP1_2, Signal Layers Only, 163.551mils
    NetP2_2, Signal Layers Only, 345.877mils
    NetP3_1, Signal Layers Only, 98.647mils
    NetP4_1, Signal Layers Only, 104.505mils
    NetP5_1, Signal Layers Only, 108.647mils
    NetP6_1, Signal Layers Only, 108.647mils
    NetR1601_1, Signal Layers Only, 32.44mils
    NetR1_2, Signal Layers Only, 51.091mils
    NetR301_1, Signal Layers Only, 42.393mils
    NetR401_2, Signal Layers Only, 83.773mils
    NetR402_2, Signal Layers Only, 37.475mils
    NetR404_2, Signal Layers Only, 40.01mils
    NetR601_2, Signal Layers Only, 195.027mils
    NetR701_1, Signal Layers Only, 156.403mils
    TRACECLK, Signal Layers Only, 1016.666mils
    TRACED0, Signal Layers Only, 1623.236mils
    TRACED1, Signal Layers Only, 1034.025mils
    TRACED2, Signal Layers Only, 1118.675mils
    TRACED3, Signal Layers Only, 1293.389mils
    US0_ECHO_5V, Signal Layers Only, 190.408mils
    US0_TRIG_5V, Signal Layers Only, 465.514mils
    US1_ECHO_5V, Signal Layers Only, 190.408mils
    US1_TRIG_5V, Signal Layers Only, 472.466mils
    US2_ECHO_5V, Signal Layers Only, 190.408mils
    US2_TRIG_5V, Signal Layers Only, 472.466mils
    VOUT_VAR, Signal Layers Only, 1945.172mils
    V_IN, Signal Layers Only, 1835.76mils
count : 186
